GPS,Latitude,Longitude,Altitude,Date,Time 
GPS2,0.000000,0.000000,0.000,,
GPS1,0.000000,0.000000,0.000,,
GPS3,0.000000,0.000000,0.000,,
GPS2,48.781005,11.475394,0.000,28-3-2023,14:1:40
GPS3,48.780948,11.475510,0.000,28-3-2023,14:1:40
GPS1,48.780933,11.475619,0.000,28-3-2023,14:1:40
GPS2,48.781005,11.475394,0.000,28-3-2023,14:1:40
GPS3,48.780948,11.475510,0.000,28-3-2023,14:1:40
GPS1,48.780933,11.475619,0.000,28-3-2023,14:1:40
GPS2,48.781005,11.475394,0.000,28-3-2023,14:1:41
GPS3,48.780948,11.475511,0.000,28-3-2023,14:1:41
GPS1,48.780933,11.475621,0.000,28-3-2023,14:1:41
GPS2,48.781005,11.475394,0.000,28-3-2023,14:1:41
GPS3,48.780948,11.475511,0.000,28-3-2023,14:1:41
GPS1,48.780933,11.475621,0.000,28-3-2023,14:1:41
GPS2,48.781005,11.475397,0.000,28-3-2023,14:1:42
GPS3,48.780952,11.475513,0.000,28-3-2023,14:1:42
GPS1,48.780937,11.475623,0.000,28-3-2023,14:1:42
GPS2,48.781005,11.475397,0.000,28-3-2023,14:1:42
GPS3,48.780952,11.475513,0.000,28-3-2023,14:1:42
GPS1,48.780937,11.475623,0.000,28-3-2023,14:1:42
GPS2,48.781009,11.475399,0.000,28-3-2023,14:1:43
GPS3,48.780956,11.475516,0.000,28-3-2023,14:1:43
GPS1,48.780937,11.475628,0.000,28-3-2023,14:1:43
GPS2,48.781009,11.475399,0.000,28-3-2023,14:1:43
GPS3,48.780956,11.475516,0.000,28-3-2023,14:1:43
GPS1,48.780937,11.475628,0.000,28-3-2023,14:1:43
GPS2,48.781013,11.475403,0.000,28-3-2023,14:1:44
GPS3,48.780956,11.475519,0.000,28-3-2023,14:1:44
GPS1,48.780941,11.475634,0.000,28-3-2023,14:1:44
GPS2,48.781013,11.475403,0.000,28-3-2023,14:1:44
GPS3,48.780956,11.475519,0.000,28-3-2023,14:1:44
GPS1,48.780941,11.475634,0.000,28-3-2023,14:1:44
GPS2,48.781017,11.475407,0.000,28-3-2023,14:1:45
GPS3,48.780960,11.475522,0.000,28-3-2023,14:1:45
GPS1,48.780948,11.475639,0.000,28-3-2023,14:1:45
GPS2,48.781017,11.475407,0.000,28-3-2023,14:1:45
GPS3,48.780960,11.475522,0.000,28-3-2023,14:1:45
GPS1,48.780948,11.475639,0.000,28-3-2023,14:1:45
GPS2,48.781021,11.475411,0.000,28-3-2023,14:1:46
GPS3,48.780967,11.475528,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS2,48.781021,11.475411,0.000,28-3-2023,14:1:46
GPS3,48.780967,11.475528,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:47
GPS2,48.781021,11.475411,0.000,28-3-2023,14:1:46
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:47
GPS1,48.780952,11.475643,0.000,28-3-2023,14:1:47
GPS1,48.780979,11.475565,376.900,28-3-2023,14:1:47
GPS1,48.780979,11.475565,376.900,28-3-2023,14:1:47
GPS1,48.780979,11.475565,376.900,28-3-2023,14:1:47
GPS2,48.781036,11.475423,376.300,28-3-2023,14:1:48
GPS3,48.780979,11.475543,384.000,28-3-2023,14:1:48
GPS1,48.780979,11.475565,376.900,28-3-2023,14:1:47
GPS2,48.781036,11.475423,376.300,28-3-2023,14:1:48
GPS1,48.780979,11.475565,376.900,28-3-2023,14:1:47
GPS1,48.780979,11.475565,376.900,28-3-2023,14:1:47
GPS2,48.781044,11.475430,376.300,28-3-2023,14:1:49
GPS3,48.780986,11.475551,384.000,28-3-2023,14:1:49
GPS1,48.780967,11.475619,376.900,28-3-2023,14:1:49
GPS2,48.781044,11.475430,376.300,28-3-2023,14:1:49
GPS3,48.780986,11.475551,384.000,28-3-2023,14:1:49
GPS1,48.780967,11.475619,376.900,28-3-2023,14:1:49
GPS2,48.781051,11.475436,376.300,28-3-2023,14:1:50
GPS3,48.780994,11.475558,384.000,28-3-2023,14:1:50
GPS1,48.780982,11.475608,376.900,28-3-2023,14:1:50
GPS2,48.781051,11.475436,376.300,28-3-2023,14:1:50
GPS3,48.780994,11.475558,384.000,28-3-2023,14:1:50
GPS1,48.780982,11.475608,376.900,28-3-2023,14:1:50
GPS1,48.780982,11.475608,376.900,28-3-2023,14:1:50
GPS1,48.780982,11.475608,376.900,28-3-2023,14:1:50
GPS1,48.780982,11.475608,376.900,28-3-2023,14:1:50
GPS3,48.781002,11.475566,384.000,28-3-2023,14:1:51
GPS2,48.781051,11.475436,376.300,28-3-2023,14:1:50
GPS3,48.781002,11.475566,384.000,28-3-2023,14:1:51
GPS1,48.780982,11.475608,376.900,28-3-2023,14:1:50
GPS1,48.780952,11.475603,382.800,28-3-2023,14:1:51
GPS1,48.780952,11.475603,382.800,28-3-2023,14:1:51
GPS1,48.780952,11.475603,382.800,28-3-2023,14:1:51
GPS2,48.781066,11.475450,376.300,28-3-2023,14:1:52
GPS3,48.781009,11.475574,384.000,28-3-2023,14:1:52
GPS1,48.780952,11.475603,382.800,28-3-2023,14:1:51
GPS2,48.781066,11.475450,376.300,28-3-2023,14:1:52
GPS3,48.781009,11.475574,384.000,28-3-2023,14:1:52
GPS1,48.780952,11.475603,382.800,28-3-2023,14:1:51
GPS2,48.781070,11.475460,376.300,28-3-2023,14:1:53
GPS3,48.781013,11.475577,384.000,28-3-2023,14:1:53
GPS1,48.780979,11.475584,382.800,28-3-2023,14:1:53
GPS2,48.781070,11.475460,376.300,28-3-2023,14:1:53
GPS3,48.781013,11.475577,384.000,28-3-2023,14:1:53
GPS1,48.780979,11.475584,382.800,28-3-2023,14:1:53
GPS2,48.781074,11.475466,376.300,28-3-2023,14:1:54
GPS3,48.781017,11.475581,384.000,28-3-2023,14:1:54
GPS1,48.780982,11.475578,382.800,28-3-2023,14:1:54
GPS2,48.781074,11.475466,376.300,28-3-2023,14:1:54
GPS1,48.780982,11.475578,382.800,28-3-2023,14:1:54
GPS3,48.781017,11.475581,384.000,28-3-2023,14:1:54
GPS2,48.781078,11.475473,376.300,28-3-2023,14:1:55
GPS3,48.781017,11.475586,384.000,28-3-2023,14:1:55
GPS1,48.780994,11.475589,382.800,28-3-2023,14:1:55
GPS2,48.781078,11.475473,376.300,28-3-2023,14:1:55
GPS3,48.781017,11.475586,384.000,28-3-2023,14:1:55
GPS1,48.780994,11.475589,382.800,28-3-2023,14:1:55
GPS2,48.781082,11.475481,376.300,28-3-2023,14:1:56
GPS3,48.781024,11.475590,384.000,28-3-2023,14:1:56
GPS1,48.780994,11.475598,382.800,28-3-2023,14:1:56
GPS2,48.781082,11.475481,376.300,28-3-2023,14:1:56
GPS1,48.780994,11.475598,382.800,28-3-2023,14:1:56
GPS3,48.781024,11.475590,384.000,28-3-2023,14:1:56
GPS2,48.781089,11.475495,376.300,28-3-2023,14:1:57
GPS3,48.781036,11.475595,384.000,28-3-2023,14:1:57
GPS1,48.781009,11.475606,382.800,28-3-2023,14:1:57
GPS2,48.781089,11.475495,376.300,28-3-2023,14:1:57
GPS3,48.781036,11.475595,384.000,28-3-2023,14:1:57
GPS1,48.781009,11.475606,382.800,28-3-2023,14:1:57
GPS2,48.781093,11.475510,376.300,28-3-2023,14:1:58
GPS3,48.781044,11.475602,384.000,28-3-2023,14:1:58
GPS1,48.781005,11.475623,382.800,28-3-2023,14:1:58
GPS2,48.781093,11.475510,376.300,28-3-2023,14:1:58
GPS3,48.781044,11.475602,384.000,28-3-2023,14:1:58
GPS1,48.781005,11.475623,382.800,28-3-2023,14:1:58
GPS1,48.781005,11.475623,382.800,28-3-2023,14:1:58
GPS1,48.781005,11.475623,382.800,28-3-2023,14:1:58
GPS1,48.781005,11.475623,382.800,28-3-2023,14:1:58
GPS1,48.780921,11.475653,382.800,28-3-2023,14:1:59
GPS1,48.780921,11.475653,382.800,28-3-2023,14:1:59
GPS2,48.781093,11.475510,376.300,28-3-2023,14:1:58
GPS3,48.781044,11.475602,384.000,28-3-2023,14:1:58
GPS2,48.781108,11.475531,376.300,28-3-2023,14:2:0
GPS3,48.781063,11.475615,384.000,28-3-2023,14:2:0
GPS2,48.781108,11.475531,376.300,28-3-2023,14:2:0
GPS3,48.781063,11.475615,384.000,28-3-2023,14:2:0
GPS3,48.781063,11.475615,384.000,28-3-2023,14:2:0
GPS1,48.780921,11.475653,382.800,28-3-2023,14:1:59
GPS1,48.780921,11.475653,382.800,28-3-2023,14:1:59
GPS2,48.781116,11.475540,376.300,28-3-2023,14:2:1
