GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS3,48.782974,11.476418,0.087456,0,14-4-2023,11:42:49
GPS2,48.782985,11.476420,0.010289,0,14-4-2023,11:42:53
GPS1,48.782981,11.476516,0.015433,0,14-4-2023,11:42:49
GPS3,48.782974,11.476418,0.087456,0,14-4-2023,11:42:49
GPS2,48.782985,11.476420,0.010289,0,14-4-2023,11:42:53
GPS1,48.782981,11.476516,0.015433,0,14-4-2023,11:42:49
GPS2,48.782985,11.476420,0.000000,0,14-4-2023,11:42:54
GPS3,48.782974,11.476417,0.005144,0,14-4-2023,11:42:50
GPS1,48.782985,11.476511,0.015433,0,14-4-2023,11:42:50
GPS2,48.782985,11.476420,0.000000,0,14-4-2023,11:42:54
GPS3,48.782974,11.476417,0.005144,0,14-4-2023,11:42:50
GPS1,48.782985,11.476511,0.015433,0,14-4-2023,11:42:50
GPS3,48.782974,11.476416,0.000000,0,14-4-2023,11:42:51
GPS2,48.782985,11.476421,0.005144,0,14-4-2023,11:42:55
GPS1,48.782985,11.476511,0.036011,0,14-4-2023,11:42:51
GPS3,48.782974,11.476416,0.000000,0,14-4-2023,11:42:51
GPS2,48.782985,11.476421,0.005144,0,14-4-2023,11:42:55
GPS1,48.782985,11.476511,0.036011,0,14-4-2023,11:42:51
GPS2,48.782985,11.476421,0.010289,0,14-4-2023,11:42:56
GPS3,48.782974,11.476415,0.000000,0,14-4-2023,11:42:52
GPS1,48.782985,11.476511,0.030867,0,14-4-2023,11:42:52
GPS2,48.782985,11.476421,0.010289,0,14-4-2023,11:42:56
GPS3,48.782974,11.476415,0.000000,0,14-4-2023,11:42:52
GPS1,48.782985,11.476511,0.030867,0,14-4-2023,11:42:52
GPS2,48.782981,11.476421,0.000000,0,14-4-2023,11:42:57
GPS3,48.782974,11.476413,0.010289,0,14-4-2023,11:42:53
GPS1,48.782989,11.476508,0.025722,0,14-4-2023,11:42:53
GPS2,48.782981,11.476421,0.000000,0,14-4-2023,11:42:57
GPS3,48.782974,11.476413,0.010289,0,14-4-2023,11:42:53
GPS1,48.782989,11.476508,0.025722,0,14-4-2023,11:42:53
GPS2,48.782981,11.476421,0.005144,0,14-4-2023,11:42:58
GPS3,48.782974,11.476412,0.000000,0,14-4-2023,11:42:54
GPS1,48.782989,11.476508,0.015433,0,14-4-2023,11:42:54
GPS2,48.782981,11.476421,0.005144,0,14-4-2023,11:42:58
GPS3,48.782974,11.476412,0.000000,0,14-4-2023,11:42:54
GPS1,48.782989,11.476508,0.015433,0,14-4-2023,11:42:54
GPS2,48.782981,11.476420,0.000000,0,14-4-2023,11:42:59
GPS3,48.782974,11.476409,0.000000,0,14-4-2023,11:42:55
GPS1,48.782989,11.476509,0.020578,0,14-4-2023,11:42:55
GPS2,48.782981,11.476420,0.000000,0,14-4-2023,11:42:59
GPS3,48.782974,11.476409,0.000000,0,14-4-2023,11:42:55
GPS1,48.782989,11.476509,0.020578,0,14-4-2023,11:42:55
GPS2,48.782981,11.476419,0.005144,0,14-4-2023,11:43:0
GPS3,48.782974,11.476408,0.000000,0,14-4-2023,11:42:56
GPS1,48.782989,11.476506,0.030867,0,14-4-2023,11:42:56
GPS2,48.782981,11.476419,0.005144,0,14-4-2023,11:43:0
GPS3,48.782974,11.476408,0.000000,0,14-4-2023,11:42:56
GPS1,48.782989,11.476506,0.030867,0,14-4-2023,11:42:56
GPS3,48.782974,11.476408,0.000000,0,14-4-2023,11:42:57
GPS2,48.782981,11.476418,0.005144,0,14-4-2023,11:43:1
GPS1,48.782989,11.476505,0.020578,0,14-4-2023,11:42:57
GPS3,48.782974,11.476408,0.000000,0,14-4-2023,11:42:57
GPS2,48.782981,11.476418,0.005144,0,14-4-2023,11:43:1
GPS1,48.782989,11.476505,0.020578,0,14-4-2023,11:42:57
GPS3,48.782974,11.476408,0.000000,0,14-4-2023,11:42:58
GPS2,48.782981,11.476417,0.010289,0,14-4-2023,11:43:2
GPS1,48.782989,11.476505,0.005144,0,14-4-2023,11:42:58
GPS3,48.782974,11.476408,0.000000,0,14-4-2023,11:42:58
GPS2,48.782981,11.476417,0.010289,0,14-4-2023,11:43:2
GPS1,48.782989,11.476505,0.005144,0,14-4-2023,11:42:58
GPS3,48.782974,11.476407,0.000000,0,14-4-2023,11:42:59
GPS2,48.782981,11.476416,0.005144,0,14-4-2023,11:43:3
GPS1,48.782993,11.476502,0.020578,0,14-4-2023,11:42:59
GPS3,48.782974,11.476407,0.000000,0,14-4-2023,11:42:59
GPS2,48.782981,11.476416,0.005144,0,14-4-2023,11:43:3
GPS1,48.782993,11.476502,0.020578,0,14-4-2023,11:42:59
GPS3,48.782974,11.476407,0.000000,0,14-4-2023,11:43:0
GPS2,48.782978,11.476413,0.000000,0,14-4-2023,11:43:4
GPS1,48.782993,11.476502,0.010289,0,14-4-2023,11:43:0
GPS3,48.782974,11.476407,0.000000,0,14-4-2023,11:43:0
GPS2,48.782978,11.476413,0.000000,0,14-4-2023,11:43:4
GPS1,48.782993,11.476502,0.010289,0,14-4-2023,11:43:0
GPS3,48.782974,11.476407,0.030867,0,14-4-2023,11:43:1
GPS2,48.782978,11.476412,0.015433,0,14-4-2023,11:43:5
GPS1,48.782993,11.476503,0.015433,0,14-4-2023,11:43:1
GPS3,48.782974,11.476407,0.030867,0,14-4-2023,11:43:1
GPS2,48.782978,11.476412,0.015433,0,14-4-2023,11:43:5
GPS1,48.782993,11.476503,0.015433,0,14-4-2023,11:43:1
GPS2,48.782978,11.476411,0.005144,0,14-4-2023,11:43:6
GPS3,48.782978,11.476407,0.066878,0,14-4-2023,11:43:2
