GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS2,48.783466,11.475515,0.000000,0,14-4-2023,11:45:14
GPS1,48.783531,11.475488,0.174911,0,14-4-2023,11:45:10
GPS3,48.783500,11.475548,0.005144,0,14-4-2023,11:45:10
GPS2,48.783466,11.475515,0.000000,0,14-4-2023,11:45:14
GPS1,48.783531,11.475488,0.174911,0,14-4-2023,11:45:10
GPS3,48.783500,11.475548,0.005144,0,14-4-2023,11:45:11
GPS2,48.783470,11.475518,0.010289,0,14-4-2023,11:45:15
GPS1,48.783531,11.475486,0.108033,0,14-4-2023,11:45:11
GPS3,48.783500,11.475548,0.005144,0,14-4-2023,11:45:11
GPS2,48.783470,11.475518,0.010289,0,14-4-2023,11:45:15
GPS1,48.783531,11.475486,0.108033,0,14-4-2023,11:45:11
GPS3,48.783500,11.475550,0.252078,915,14-4-2023,11:45:12
GPS2,48.783470,11.475519,0.252078,915,14-4-2023,11:45:16
GPS1,48.783531,11.475490,0.349822,915,14-4-2023,11:45:12
GPS1,48.783531,11.475490,0.349822,915,14-4-2023,11:45:12
GPS3,48.783500,11.475550,0.252078,915,14-4-2023,11:45:12
GPS2,48.783470,11.475519,0.252078,915,14-4-2023,11:45:16
GPS3,48.783500,11.475557,0.771667,3555,14-4-2023,11:45:13
GPS2,48.783470,11.475529,0.781955,3555,14-4-2023,11:45:17
GPS1,48.783527,11.475499,0.761378,3555,14-4-2023,11:45:13
GPS3,48.783500,11.475557,0.771667,3555,14-4-2023,11:45:13
GPS2,48.783470,11.475529,0.781955,3555,14-4-2023,11:45:17
GPS1,48.783527,11.475499,0.761378,3555,14-4-2023,11:45:13
GPS3,48.783500,11.475569,1.090622,3735,14-4-2023,11:45:14
GPS2,48.783466,11.475543,1.059755,3735,14-4-2023,11:45:18
GPS1,48.783527,11.475513,1.034033,3735,14-4-2023,11:45:14
GPS3,48.783500,11.475569,1.090622,3735,14-4-2023,11:45:14
GPS2,48.783466,11.475543,1.059755,3735,14-4-2023,11:45:18
GPS1,48.783527,11.475513,1.034033,3735,14-4-2023,11:45:14
GPS3,48.783496,11.475585,1.260389,3555,14-4-2023,11:45:15
