GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS1,48.781955,11.474986,0.360111,4031,14-4-2023,10:49:1
GPS2,48.781921,11.474864,0.349822,4031,14-4-2023,10:49:5
GPS1,48.781955,11.474986,0.360111,4031,14-4-2023,10:49:1
GPS2,48.781921,11.474864,0.349822,4031,14-4-2023,10:49:5
GPS3,48.781940,11.474884,0.396122,4031,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,4031,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS2,48.781921,11.474867,0.653344,9045,14-4-2023,10:49:6
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS2,48.781921,11.474867,0.653344,9045,14-4-2023,10:49:6
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS3,48.781940,11.474884,0.396122,9045,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:2
GPS1,48.781955,11.474986,0.360111,14580,14-4-2023,10:49:2
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS2,48.781917,11.474876,0.653344,14580,14-4-2023,10:49:7
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS3,48.781940,11.474898,0.396122,14580,14-4-2023,10:49:3
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS2,48.781917,11.474876,0.653344,14580,14-4-2023,10:49:7
GPS2,48.781917,11.474876,0.653344,14580,14-4-2023,10:49:7
GPS1,48.781852,11.474862,0.360111,12315,14-4-2023,10:49:2
GPS2,48.781913,11.474883,0.607044,12315,14-4-2023,10:49:8
GPS3,48.781936,11.474905,0.643055,12315,14-4-2023,10:49:4
GPS1,48.781841,11.474864,0.756233,12315,14-4-2023,10:49:4
GPS2,48.781913,11.474883,0.607044,12315,14-4-2023,10:49:8
GPS3,48.781936,11.474905,0.643055,12315,14-4-2023,10:49:4
GPS1,48.781841,11.474864,0.756233,12315,14-4-2023,10:49:4
GPS2,48.781913,11.474880,0.884844,4856,14-4-2023,10:49:9
GPS3,48.781936,11.474914,0.715078,4856,14-4-2023,10:49:5
GPS1,48.781867,11.474870,0.859122,4856,14-4-2023,10:49:5
GPS2,48.781913,11.474880,0.884844,4856,14-4-2023,10:49:9
GPS3,48.781936,11.474914,0.715078,4856,14-4-2023,10:49:5
GPS1,48.781867,11.474870,0.859122,4856,14-4-2023,10:49:5
GPS2,48.781909,11.474887,0.576178,10770,14-4-2023,10:49:10
