GPS,Latitude,Longitude,Speed,RPM,Date,Time 
GPS3,48.782787,11.476680,0.000000,0,14-4-2023,11:11:50
GPS1,48.782859,11.476675,0.030867,0,14-4-2023,11:11:50
GPS2,48.782848,11.476736,0.000000,0,14-4-2023,11:11:50
GPS3,48.782787,11.476680,0.000000,0,14-4-2023,11:11:50
GPS1,48.782859,11.476675,0.030867,0,14-4-2023,11:11:50
GPS2,48.782848,11.476737,0.046300,0,14-4-2023,11:11:51
GPS3,48.782787,11.476680,0.005144,0,14-4-2023,11:11:51
GPS1,48.782859,11.476673,0.046300,0,14-4-2023,11:11:51
GPS2,48.782848,11.476737,0.046300,0,14-4-2023,11:11:51
GPS3,48.782787,11.476680,0.005144,0,14-4-2023,11:11:51
GPS1,48.782859,11.476673,0.046300,0,14-4-2023,11:11:51
GPS2,48.782844,11.476735,0.493867,1845,14-4-2023,11:11:52
GPS3,48.782787,11.476680,0.329244,1845,14-4-2023,11:11:52
GPS1,48.782855,11.476670,0.499011,1845,14-4-2023,11:11:52
GPS2,48.782844,11.476735,0.493867,1845,14-4-2023,11:11:52
GPS3,48.782787,11.476680,0.329244,1845,14-4-2023,11:11:52
GPS1,48.782855,11.476670,0.499011,1845,14-4-2023,11:11:52
GPS2,48.782840,11.476731,0.601900,3735,14-4-2023,11:11:53
GPS3,48.782783,11.476678,0.617333,3735,14-4-2023,11:11:53
GPS1,48.782848,11.476665,0.951722,3735,14-4-2023,11:11:53
GPS2,48.782840,11.476731,0.601900,3735,14-4-2023,11:11:53
GPS3,48.782783,11.476678,0.617333,3735,14-4-2023,11:11:53
GPS1,48.782848,11.476665,0.951722,3735,14-4-2023,11:11:53
GPS2,48.782833,11.476726,0.853978,1935,14-4-2023,11:11:54
GPS3,48.782775,11.476675,0.864267,1935,14-4-2023,11:11:54
GPS1,48.782840,11.476657,0.931144,1935,14-4-2023,11:11:54
GPS2,48.782833,11.476726,0.853978,1935,14-4-2023,11:11:54
GPS3,48.782775,11.476675,0.864267,1935,14-4-2023,11:11:54
GPS1,48.782840,11.476657,0.931144,1935,14-4-2023,11:11:54
GPS2,48.782825,11.476720,0.992878,2955,14-4-2023,11:11:55
GPS3,48.782768,11.476671,0.982589,2955,14-4-2023,11:11:55
GPS1,48.782829,11.476647,1.121489,2955,14-4-2023,11:11:55
GPS2,48.782825,11.476720,0.992878,2955,14-4-2023,11:11:55
GPS3,48.782768,11.476671,0.982589,2955,14-4-2023,11:11:55
GPS1,48.782829,11.476647,1.121489,2955,14-4-2023,11:11:55
GPS2,48.782817,11.476714,0.956867,3120,14-4-2023,11:11:56
GPS3,48.782760,11.476665,0.967155,3120,14-4-2023,11:11:56
GPS1,48.782821,11.476636,1.039178,3120,14-4-2023,11:11:56
