GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS2,0.000000,0.000000,0.000000,0,,
GPS2,0.000000,0.000000,0.000000,0,,
GPS3,0.000000,0.000000,0.000000,0,,
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:13
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:13
GPS3,48.782791,11.476706,0.000000,0,14-4-2023,11:16:9
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:13
GPS1,48.782817,11.476746,0.005144,0,14-4-2023,11:16:9
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:14
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:14
GPS3,48.782791,11.476706,0.000000,0,14-4-2023,11:16:10
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:14
GPS1,48.782817,11.476744,0.000000,0,14-4-2023,11:16:10
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:15
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:15
GPS3,48.782791,11.476707,0.005144,0,14-4-2023,11:16:11
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:15
GPS1,48.782817,11.476743,0.000000,0,14-4-2023,11:16:11
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:16
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:16
GPS3,48.782791,11.476707,0.005144,0,14-4-2023,11:16:12
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:16
GPS1,48.782817,11.476740,0.005144,0,14-4-2023,11:16:12
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,0:0:43
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:17
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:17
GPS3,48.782791,11.476708,0.000000,0,14-4-2023,11:16:13
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:17
GPS1,48.782817,11.476737,0.005144,0,14-4-2023,11:16:13
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:18
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:18
GPS3,48.782791,11.476708,0.000000,0,14-4-2023,11:16:14
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:18
GPS1,48.782817,11.476733,0.000000,0,14-4-2023,11:16:14
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:19
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:19
GPS3,48.782791,11.476708,0.000000,0,14-4-2023,11:16:15
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:19
GPS1,48.782817,11.476729,0.010289,0,14-4-2023,11:16:15
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:20
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:20
GPS3,48.782791,11.476709,0.000000,0,14-4-2023,11:16:16
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:20
GPS1,48.782817,11.476724,0.010289,0,14-4-2023,11:16:16
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:21
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:21
GPS3,48.782791,11.476709,0.000000,0,14-4-2023,11:16:17
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:21
GPS1,48.782817,11.476719,0.010289,0,14-4-2023,11:16:17
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:22
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:22
GPS3,48.782791,11.476710,0.005144,0,14-4-2023,11:16:18
GPS2,0.000000,0.000000,0.000000,0,14-4-2023,11:16:22
GPS1,48.782817,11.476716,0.015433,0,14-4-2023,11:16:18
